tool_name,vendor,category,plan_name,billing_period,price_amount,price_currency,price_notes,usage_limit_value,usage_limit_unit,usage_limit_notes,cost_per_unit,cost_per_unit_basis,free_tier,source_url,source_type,verified_date,verified_by,status,maintainer_affiliate,notes
ElevenLabs,ElevenLabs,voice generation,Free,monthly,0,USD,,10000,credits,"Per month, as shown on the Creative plans tab.",,,yes,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Creative plans tab (not the Agents or API tabs). Commercial license is listed from Starter upward, not on Free."
ElevenLabs,ElevenLabs,voice generation,Starter,monthly,6,USD,,30000,credits,"Per month, as shown on the Creative plans tab.",0.0002,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Starter,annual,5,USD,"Monthly equivalent shown when yearly billing is selected; the page labels it ""2 months free"". The annual total is not stated on the page.",30000,credits,"Per month, as shown on the Creative plans tab.",0.000167,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Creator,monthly,22,USD,Page also shows a first-month 50% promotional price of 11; the recurring price is 22.,121000,credits,"Per month, as shown on the Creative plans tab.",0.000182,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Creator,annual,18.33,USD,"Monthly equivalent shown when yearly billing is selected; the page labels it ""2 months free"". The annual total is not stated on the page.",121000,credits,"Per month, as shown on the Creative plans tab.",0.000151,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Pro,monthly,99,USD,,600000,credits,"Per month, as shown on the Creative plans tab.",0.000165,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Pro,annual,82.5,USD,"Monthly equivalent shown when yearly billing is selected; the page labels it ""2 months free"". The annual total is not stated on the page.",600000,credits,"Per month, as shown on the Creative plans tab.",0.000138,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Scale,monthly,299,USD,,1800000,credits,"Per month, as shown on the Creative plans tab. Includes 3 workspace seats.",0.000166,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Scale,annual,249.17,USD,"Monthly equivalent shown when yearly billing is selected; the page labels it ""2 months free"". The annual total is not stated on the page.",1800000,credits,"Per month, as shown on the Creative plans tab. Includes 3 workspace seats.",0.000138,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Business,monthly,990,USD,,6000000,credits,"Per month, as shown on the Creative plans tab. Includes 10 workspace seats.",0.000165,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Business,annual,825,USD,"Monthly equivalent shown when yearly billing is selected; the page labels it ""2 months free"". The annual total is not stated on the page.",6000000,credits,"Per month, as shown on the Creative plans tab. Includes 10 workspace seats.",0.000138,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,verified,yes,"Credits are the vendor unit; how much audio one credit buys depends on the model and feature, so no cost per minute is calculated. Prices exclude taxes per the page."
ElevenLabs,ElevenLabs,voice generation,Enterprise,monthly,,USD,Custom pricing; contact sales.,,credits,Custom number of credits and seats.,,,no,https://elevenlabs.io/pricing,pricing_page,2026-09-24,ai-assisted,not_published,yes,
OpusClip,Opus Labs (OpusClip),video clipping,Free,monthly,0,USD,,60,credits,"Per month. Page notes: clips carry a watermark, no editing, and exported clips expire after 3 days.",,,yes,https://www.opus.pro/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,
OpusClip,Opus Labs (OpusClip),video clipping,Starter,monthly,15,USD,Page says the Starter plan is only available on monthly billing.,150,credits,Per month.,0.1,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://www.opus.pro/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"Page shows a free trial with no credit card required. The pricing page does not define what one credit buys in this view, so no cost per minute of video is calculated."
OpusClip,Opus Labs (OpusClip),video clipping,Pro,monthly,29,USD,,300,credits,"Per month. Unused credits roll over for 1 month. Includes a team workspace with 2 seats. The page also offers multiple credit packs, whose prices were not displayed in this view.",0.096667,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://www.opus.pro/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"Page shows a free trial with no credit card required. The pricing page does not define what one credit buys in this view, so no cost per minute of video is calculated."
OpusClip,Opus Labs (OpusClip),video clipping,Pro,annual,14.5,USD,Monthly equivalent shown when yearly billing is selected; the page states 174 billed annually (list price 29 per month).,300,credits,"Per month. Unused credits roll over for 2 months on annual billing. Includes a team workspace with 2 seats. The page also offers multiple credit packs, whose prices were not displayed in this view.",0.048333,"price_amount / usage_limit_value (cost per credit, plan price only)",no,https://www.opus.pro/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"Page shows a free trial with no credit card required. The pricing page does not define what one credit buys in this view, so no cost per minute of video is calculated."
OpusClip,Opus Labs (OpusClip),video clipping,Business,monthly,,USD,Custom pricing and packs; contact sales.,,credits,"Customized credits, team seats and social account connections.",,,no,https://www.opus.pro/pricing,pricing_page,2026-09-24,ai-assisted,not_published,no,
Descript,Descript,video and podcast editing,Free,monthly,0,USD,,,media hours,Limits for the Free plan were not shown on the pricing page.,,,yes,https://www.descript.com/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,The page describes Free as including text-based editing and a first look at the AI tools.
Descript,Descript,video and podcast editing,Hobbyist,monthly,24,USD,Per person per month.,10,media hours,"Per month. Also 400 AI credits per month. 1 person included. Export up to 1080p, watermark-free.",,,no,https://www.descript.com/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"One price covers both media hours and AI credits, so no single per-unit cost is calculated."
Descript,Descript,video and podcast editing,Hobbyist,annual,16,USD,"Per person per month, shown when annual billing is selected. The annual total is not stated on the page.",10,media hours,"Per month. Also 400 AI credits per month. 1 person included. Export up to 1080p, watermark-free.",,,no,https://www.descript.com/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"One price covers both media hours and AI credits, so no single per-unit cost is calculated."
Descript,Descript,video and podcast editing,Creator,monthly,35,USD,Per person per month.,30,media hours,"Per month. Also 800 AI credits per month. Can scale to a team of 3, billed separately. Export up to 4K, watermark-free.",,,no,https://www.descript.com/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"One price covers both media hours and AI credits, so no single per-unit cost is calculated."
Descript,Descript,video and podcast editing,Creator,annual,24,USD,"Per person per month, shown when annual billing is selected. The annual total is not stated on the page.",30,media hours,"Per month. Also 800 AI credits per month. Can scale to a team of 3, billed separately. Export up to 4K, watermark-free.",,,no,https://www.descript.com/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"One price covers both media hours and AI credits, so no single per-unit cost is calculated."
Descript,Descript,video and podcast editing,Business,monthly,65,USD,Per person per month.,40,media hours,"Per month. Also 1500 AI credits per month. Can scale to a team of 5, billed separately.",,,no,https://www.descript.com/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"One price covers both media hours and AI credits, so no single per-unit cost is calculated."
Descript,Descript,video and podcast editing,Business,annual,50,USD,"Per person per month, shown when annual billing is selected. The annual total is not stated on the page.",40,media hours,"Per month. Also 1500 AI credits per month. Can scale to a team of 5, billed separately.",,,no,https://www.descript.com/pricing,pricing_page,2026-09-24,ai-assisted,verified,no,"One price covers both media hours and AI credits, so no single per-unit cost is calculated."
Descript,Descript,video and podcast editing,Enterprise,monthly,,USD,Custom pricing; talk to sales.,,media hours,AI credits and media hours are sized to the team.,,,no,https://www.descript.com/pricing,pricing_page,2026-09-24,ai-assisted,not_published,no,
AdCreative.ai,AdCreative.ai,AI ad creatives,"Starter (10 credits, 1 brand)",monthly,39,USD,,10,credits,Per month. Brand limit 1.,3.9,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Starter (15 credits, 2 brands)",monthly,89,USD,,15,credits,Per month. Brand limit 2.,5.9333,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Starter (30 credits, 2 brands)",monthly,139,USD,,30,credits,Per month. Brand limit 2.,4.6333,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Starter (50 credits, 2 brands)",monthly,189,USD,,50,credits,Per month. Brand limit 2.,3.78,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Professional (50 credits, 10 brands)",monthly,249,USD,,50,credits,Per month. Brand limit 10.,4.98,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Professional (75 credits, 10 brands)",monthly,339,USD,,75,credits,Per month. Brand limit 10.,4.52,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Professional (100 credits, 10 brands)",monthly,400,USD,,100,credits,Per month. Brand limit 10.,4,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Ultimate (100 credits, 25 brands)",monthly,999,USD,,100,credits,Per month. Brand limit 25.,9.99,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Ultimate (150 credits, 25 brands)",monthly,1099,USD,,150,credits,Per month. Brand limit 25.,7.3267,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Ultimate (200 credits, 25 brands)",monthly,1399,USD,,200,credits,Per month. Brand limit 25.,6.995,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Starter (10 credits, 1 brand)",quarterly,29,USD,Monthly equivalent shown when quarterly billing is selected; the page says billed quarterly. The quarterly total is not stated.,10,credits,Per month. Brand limit 1.,2.9,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Starter (15 credits, 2 brands)",quarterly,65,USD,Monthly equivalent shown when quarterly billing is selected; the page says billed quarterly. The quarterly total is not stated.,15,credits,Per month. Brand limit 2.,4.3333,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Starter (30 credits, 2 brands)",quarterly,105,USD,Monthly equivalent shown when quarterly billing is selected; the page says billed quarterly. The quarterly total is not stated.,30,credits,Per month. Brand limit 2.,3.5,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
AdCreative.ai,AdCreative.ai,AI ad creatives,"Starter (50 credits, 2 brands)",quarterly,145,USD,Monthly equivalent shown when quarterly billing is selected; the page says billed quarterly. The quarterly total is not stated.,50,credits,Per month. Brand limit 2.,2.9,"price_amount / usage_limit_value (cost per credit, plan price only)",,https://www.adcreative.ai/#new-pricing-section,pricing_page,2026-09-24,ai-assisted,verified,yes,"Pricing appears as a section on the vendor homepage, not a separate page. Plan buttons say ""Try it free""; the pricing section does not describe the trial terms. The pricing section does not define what one credit buys, so no cost per finished ad is calculated. Prices are the monthly equivalent shown per credit tier in the plan selector."
